timeSeriesDesc,geoLevelValueDesc,label,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Ntabankulu,40-44,2651,1.8,3400,2.3,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,35-39,3647,2.5,4467,3.1,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,30-34,4178,2.9,4894,3.3,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,25-29,5753,3.9,6299,4.3,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,20-24,6493,4.4,6454,4.4,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,15-19,8376,5.7,7523,5.1,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,10-14,9191,6.3,8344,5.7,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,5-9,8567,5.9,8399,5.7,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,0-4,10298,7.0,9909,6.8,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Umzimvubu,85+,262,0.1,1288,0.6,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,80-84,399,0.2,1169,0.5,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,75-79,756,0.4,1981,0.9,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,70-74,1396,0.7,2873,1.3,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,65-69,2180,1.0,3858,1.8,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,60-64,2893,1.3,4454,2.1,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,55-59,2790,1.3,4762,2.2,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,50-54,2817,1.3,4583,2.1,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,45-49,3720,1.7,5147,2.4,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,40-44,4849,2.3,5576,2.6,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,35-39,5952,2.8,6734,3.1,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,30-34,6894,3.2,7595,3.5,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,25-29,8585,4.0,9298,4.3,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,20-24,9504,4.4,9215,4.3,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,15-19,11353,5.3,10403,4.9,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,10-14,12360,5.8,11624,5.4,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,5-9,11352,5.3,10894,5.1,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Umzimvubu,0-4,12560,5.9,12396,5.8,Eastern Cape,Alfred Nzo,Umzimvubu,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,85+,433,0.1,1851,0.5,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,80-84,577,0.2,1629,0.5,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,75-79,773,0.2,1991,0.6,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,70-74,1567,0.4,2960,0.8,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,65-69,2481,0.7,3961,1.1,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,60-64,3679,1.1,5936,1.7,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,55-59,3677,1.1,6407,1.8,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,50-54,3609,1.0,6604,1.9,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,45-49,4847,1.4,7563,2.2,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,40-44,5941,1.7,8326,2.4,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,35-39,8317,2.4,10781,3.1,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,30-34,9766,2.8,11766,3.4,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,25-29,14328,4.1,15420,4.4,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,20-24,15875,4.5,15993,4.6,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,15-19,20189,5.8,19139,5.5,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,10-14,22139,6.3,21743,6.2,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,5-9,21579,6.2,20476,5.9,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Winnie Madikizela-Mandela,0-4,24107,6.9,23563,6.7,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAgeGroups
Census 2022,Amahlathi,85+,247,0.2,668,0.6,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,80-84,395,0.3,874,0.8,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,75-79,594,0.5,1031,0.9,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,70-74,1178,1.0,1546,1.3,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,65-69,1860,1.6,2587,2.2,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,60-64,2532,2.2,3387,2.9,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,55-59,2598,2.2,3560,3.1,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,50-54,2533,2.2,3214,2.8,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,45-49,2808,2.4,3056,2.6,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,40-44,3147,2.7,3169,2.7,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,35-39,3694,3.2,3714,3.2,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,30-34,4258,3.7,3792,3.3,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,25-29,4632,4.0,4074,3.5,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,20-24,4156,3.6,3696,3.2,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,15-19,5343,4.6,5205,4.5,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,10-14,6012,5.2,5823,5.0,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,5-9,5345,4.6,4835,4.2,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Amahlathi,0-4,5130,4.4,5010,4.3,Eastern Cape,Amathole,Amahlathi,DsAgeGroups
Census 2022,Great Kei,85+,93,0.3,210,0.6,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,80-84,219,0.6,369,1.0,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,75-79,325,0.9,511,1.4,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,70-74,502,1.4,487,1.4,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,65-69,794,2.2,930,2.6,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,60-64,868,2.4,1172,3.3,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,55-59,776,2.2,1124,3.1,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,50-54,766,2.1,1126,3.1,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,45-49,960,2.7,914,2.5,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,40-44,1113,3.1,1194,3.3,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,35-39,1421,3.9,1390,3.9,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,30-34,1358,3.8,1319,3.7,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,25-29,1256,3.5,1201,3.3,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,20-24,1125,3.1,942,2.6,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,15-19,1375,3.8,1180,3.3,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,10-14,1552,4.3,1578,4.4,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,5-9,1468,4.1,1409,3.9,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Great Kei,0-4,1521,4.2,1445,4.0,Eastern Cape,Amathole,Great Kei,DsAgeGroups
Census 2022,Mbhashe,85+,540,0.2,1918,0.8,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,80-84,954,0.4,1968,0.8,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,75-79,1322,0.6,2301,1.0,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,70-74,2150,0.9,3763,1.6,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,65-69,3237,1.3,4805,2.0,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,60-64,4132,1.7,6083,2.5,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,55-59,3702,1.5,6319,2.6,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,50-54,3220,1.3,5795,2.4,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,45-49,4066,1.7,6077,2.5,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,40-44,4562,1.9,6070,2.5,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,35-39,6027,2.5,6982,2.9,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,30-34,6477,2.7,7328,3.1,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,25-29,8440,3.5,9175,3.8,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,20-24,9126,3.8,9528,4.0,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,15-19,12351,5.1,11473,4.8,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,10-14,13980,5.8,13115,5.5,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,5-9,13139,5.5,12294,5.1,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mbhashe,0-4,13712,5.7,13889,5.8,Eastern Cape,Amathole,Mbhashe,DsAgeGroups
Census 2022,Mnquma,85+,519,0.2,1892,0.8,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,80-84,891,0.4,1965,0.8,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,75-79,1460,0.6,2658,1.1,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,70-74,2488,1.1,3759,1.6,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,65-69,3788,1.6,5702,2.4,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,60-64,4660,2.0,6811,2.9,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,55-59,4087,1.8,6895,3.0,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,50-54,3998,1.7,6193,2.7,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,45-49,5175,2.2,6109,2.6,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,40-44,5747,2.5,6046,2.6,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,35-39,7113,3.1,6875,3.0,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,30-34,7957,3.4,7049,3.0,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,25-29,8889,3.8,8451,3.6,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,20-24,8475,3.6,7867,3.4,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,15-19,10660,4.6,9086,3.9,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,10-14,12351,5.3,11623,5.0,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,5-9,11329,4.9,10718,4.6,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Mnquma,0-4,11783,5.1,11918,5.1,Eastern Cape,Amathole,Mnquma,DsAgeGroups
Census 2022,Ngqushwa,85+,214,0.3,765,1.1,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,80-84,332,0.5,801,1.2,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,75-79,522,0.8,916,1.3,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,70-74,935,1.4,1458,2.1,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,65-69,1464,2.1,1876,2.7,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,60-64,1640,2.4,2274,3.3,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,55-59,1683,2.5,2436,3.6,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,50-54,1454,2.1,2145,3.1,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,45-49,1722,2.5,1880,2.8,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,40-44,1874,2.7,1891,2.8,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,35-39,2044,3.0,1992,2.9,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,30-34,2049,3.0,1977,2.9,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,25-29,2405,3.5,2143,3.1,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,20-24,2195,3.2,1836,2.7,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,15-19,3024,4.4,2525,3.7,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,10-14,3461,5.1,3290,4.8,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,5-9,3068,4.5,2870,4.2,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Ngqushwa,0-4,2527,3.7,2608,3.8,Eastern Cape,Amathole,Ngqushwa,DsAgeGroups
Census 2022,Raymond Mhlaba,85+,376,0.2,1168,0.7,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,80-84,607,0.3,1309,0.7,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,75-79,1044,0.6,1860,1.0,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,70-74,1727,1.0,2673,1.5,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,65-69,2803,1.6,4128,2.3,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,60-64,3654,2.0,4951,2.8,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,55-59,3933,2.2,5357,3.0,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,50-54,4168,2.3,5327,3.0,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,45-49,4642,2.6,5016,2.8,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,40-44,5071,2.8,5023,2.8,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,35-39,6229,3.5,6163,3.5,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,30-34,6464,3.6,6329,3.5,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,25-29,7010,3.9,6631,3.7,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,20-24,6601,3.7,5991,3.4,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,15-19,8449,4.7,7602,4.3,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,10-14,8843,5.0,8694,4.9,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,5-9,7178,4.0,7279,4.1,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Raymond Mhlaba,0-4,7123,4.0,7171,4.0,Eastern Cape,Amathole,Raymond Mhlaba,DsAgeGroups
Census 2022,Buffalo City,85+,1468,0.2,3968,0.4,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,80-84,2916,0.3,5783,0.6,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,75-79,4532,0.5,8290,0.9,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,70-74,7428,0.8,11208,1.1,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,65-69,12451,1.3,17934,1.8,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,60-64,16425,1.7,23787,2.4,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,55-59,19347,2.0,26265,2.7,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,50-54,21739,2.2,27314,2.8,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,45-49,25338,2.6,29619,3.0,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,40-44,32138,3.3,35247,3.6,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,35-39,37914,3.9,42173,4.3,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,30-34,39885,4.1,43237,4.4,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,25-29,41480,4.3,42668,4.4,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,20-24,36519,3.7,34940,3.6,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,15-19,41052,4.2,40310,4.1,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,10-14,43981,4.5,43548,4.5,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,5-9,38104,3.9,37987,3.9,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Buffalo City,0-4,38973,4.0,39281,4.0,Eastern Cape,Buffalo City,Buffalo City,DsAgeGroups
Census 2022,Emalahleni,85+,340,0.3,990,0.8,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,80-84,622,0.5,1354,1.1,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,75-79,854,0.7,1489,1.2,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,70-74,1603,1.2,2263,1.8,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,65-69,2267,1.8,3382,2.6,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,60-64,2954,2.3,3956,3.1,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,55-59,2419,1.9,3906,3.0,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,50-54,2313,1.8,3193,2.5,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,45-49,2936,2.3,3162,2.5,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,40-44,3161,2.5,3051,2.4,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,35-39,3788,2.9,3475,2.7,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,30-34,4141,3.2,3577,2.8,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,25-29,4579,3.6,3956,3.1,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,20-24,4377,3.4,3746,2.9,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,15-19,6171,4.8,5397,4.2,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,10-14,7160,5.6,6680,5.2,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,5-9,6363,4.9,6136,4.8,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Emalahleni,0-4,6655,5.2,6456,5.0,Eastern Cape,Chris Hani,Emalahleni,DsAgeGroups
Census 2022,Engcobo,85+,321,0.2,822,0.6,Eastern Cape,Chris Hani,Engcobo,DsAgeGroups
Census 2022,Engcobo,80-84,531,0.4,1035,0.8,Eastern Cape,Chris Hani,Engcobo,DsAgeGroups
Census 2022,Engcobo,75-79,646,0.5,1182,0.9,Eastern Cape,Chris Hani,Engcobo,DsAgeGroups
